Symbol,Name,Sector
TRITN.BK,Triton Holding Public Company Limited,Industrials
TSE.BK,Thai Solar Energy Public Company Limited,Utilities
TSTH.BK,Tata Steel (Thailand) Public Company Limited,Basic Materials
TTCL.BK,TTCL Public Company Limited,Industrials
TWPC.BK,Thai Wah Public Company Limited,Consumer Defensive
U.BK,U City Public Company Limited,Real Estate
UAC.BK,UAC Global Public Company Limited,Basic Materials
UNIQ.BK,Unique Engineering and Construction Public Company Limited,Industrials
UTP.BK,United Paper Public Company Limited,Basic Materials
UV.BK,Univentures Public Company Limited,Real Estate
VIH.BK,Srivichaivejvivat Public Company Limited,Healthcare
WHAUP.BK,WHA Utilities and Power Public Company Limited,Utilities
WICE.BK,Wice Logistics Public Company Limited,Industrials
WORK.BK,Workpoint Entertainment Public Company Limited,Communication Services
XPG.BK,XSpring Capital Public Company Limited,Financial Services
ZEN.BK,ZEN Corporation Group Public Company Limited,Consumer Cyclical
